Antiope,46.6*,56200,3.161418,0.15791275,2.21875,243.69087,70.22149,83.998264
Aegina,35.8*,56200,2.5902256,0.10726773,2.10768,73.14747,10.74501,320.3536862
Undina,100.1*,56200,3.1866168,0.10372963,9.93005,240.24591,101.58942,122.7318027
Minerva,60.6*,56200,2.7551327,0.14143729,8.55986,274.98952,4.08851,319.7692833
Aurora,98.5,56200,3.1589975,0.08921427,7.96462,60.24017,2.6673,247.7117418
Arethusa,56.8*,56200,3.0664427,0.1510451,13.00571,155.06447,243.1147,352.25474
Aegle,61.4*,56200,3.0517477,0.13842194,15.96632,208.57476,321.65,20.5807966
Klotho,62.5*,56200,2.6707741,0.25484397,11.78224,268.43275,159.73712,129.2134097
Ianthe,35.8*,56200,2.6889512,0.18608108,15.57566,158.33525,354.03535,309.3341399
Dike,27.3*,56200,2.6640519,0.1966331,13.85284,195.55888,41.62895,60.7560142
Hekate,61.4*,56200,3.0878755,0.1680392,6.42987,185.09121,127.20794,170.0658
Helena,45.3*,56200,2.5833662,0.14113911,10.19995,347.35147,343.44877,264.7856222
Miriam,29.5*,56200,2.6620849,0.25280188,5.17865,147.54084,210.88827,65.5972544
Hera,61.7*,56200,2.7007166,0.08163431,5.41964,189.043,136.19984,181.9136053
Klymene,46.6*,56200,3.1508476,0.15571537,2.7889,31.60161,41.7899,215.2944219
Artemis,40.6*,56200,2.3735429,0.17714766,21.4411,57.17592,188.27509,239.3987438
Dione,69.2*,56200,3.1751984,0.16766991,4.59829,329.6841,62.17744,167.7987594
Camilla,107.5,56200,3.496633,0.06934605,9.99472,306.42053,172.74991,323.7135654
Hecuba,50.6*,56200,3.2367558,0.05478952,4.22098,203.62304,350.0338,290.7937121
Felicitas,37.3*,56200,2.6958248,0.2976366,7.88461,56.2688,3.19755,79.28489
Lydia,57.8*,56200,2.7331845,0.07823623,5.97315,283.35257,56.96945,43.1113102
Ate,52.3*,56200,2.5930538,0.10332828,4.93179,167.03466,305.76975,219.605026
Iphigenia,22.6*,56200,2.432714,0.12915089,2.60422,16.76581,323.55233,166.3648587
Amalthea,37.5*,56200,2.3770546,0.0869156,5.0387,78.33098,123.53074,210.6331759
Kassandra,46.8*,56200,2.677012,0.13678911,4.93547,352.23079,164.32895,242.0923236
Thyra,66.1*,56200,2.3791196,0.19240684,11.60054,96.68822,308.92944,92.8211587
Sirona,57.3*,56200,2.7675369,0.14119808,3.56368,94.91384,63.75563,67.771905
Lomia,54*,56200,2.9922727,0.02906292,14.8985,54.71283,348.82697,48.4082803
Peitho,31.2*,56200,2.4366907,0.16352209,7.74432,33.10134,47.71942,48.843696
Althaea,43.5*,56200,2.5806908,0.08163238,5.78348,169.97267,203.69393,142.2101017
Lachesis,87,56200,3.1158085,0.05719722,6.95198,231.90337,341.46891,166.5948582
Hermione,95,56200,3.4495247,0.13478141,7.59758,298.35897,73.14869,209.1207351
Gerda,56*,56200,3.2311015,0.0363601,1.63894,320.78289,178.36131,286.10651
Brunhild,35*,56200,2.6960943,0.1185121,6.41829,125.35198,307.87802,145.73347
Alkeste,50.1*,56200,2.6303109,0.07731335,2.95331,61.78757,188.0762,19.9086426
Liberatrix,32.7*,56200,2.7433339,0.0801176,4.65777,108.82278,169.06077,4.8520166
Velleda,29.4*,56200,2.4392776,0.10497947,2.9239,327.72212,23.41481,300.666745
